f3_01.pdf|Shell 1|Position-velocity diagram of $^{12}$CO map toward Shell 1. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_02.pdf|Shell 2|Position-velocity diagram of $^{12}$CO map toward Shell 2. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_03.pdf|Shell 3|Position-velocity diagram of $^{12}$CO map toward Shell 3. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_04.pdf|Shell 4|Position-velocity diagram of $^{12}$CO map toward Shell 4. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_05.pdf|Shell 5|Position-velocity diagram of $^{12}$CO map toward Shell 5. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_06.pdf|Shell 6|Position-velocity diagram of $^{12}$CO map toward Shell 6. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_07.pdf|Shell 7|Position-velocity diagram of $^{12}$CO map toward Shell 7. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_08.pdf|Shell 8|Position-velocity diagram of $^{12}$CO map toward Shell 8. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_09.pdf|Shell 9|Position-velocity diagram of $^{12}$CO map toward Shell 9. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_10.pdf|Shell 10|Position-velocity diagram of $^{12}$CO map toward Shell 10. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_11.pdf|Shell 11|Position-velocity diagram of $^{12}$CO map toward Shell 11. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_12.pdf|Shell 12|Position-velocity diagram of $^{13}$CO map toward Shell 12. We extract emission along a slice through the center of the shell at position angle 90$\arcdeg$~east of north. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_13.pdf|Shell 13|Position-velocity diagram of $^{12}$CO map toward Shell 13. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_14.pdf|Shell 14|Position-velocity diagram of $^{12}$CO map toward Shell 14. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_15.pdf|Shell 15|Position-velocity diagram of $^{12}$CO map toward Shell 15. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_16.pdf|Shell 16|Position-velocity diagram of $^{13}$CO map toward Shell 16. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_17.pdf|Shell 17|Position-velocity diagram of $^{12}$CO map toward Shell 17. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_18.pdf|Shell 18|Position-velocity diagram of $^{13}$CO map toward Shell 18. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
f3_19.pdf|Shell 19|Position-velocity diagram of $^{12}$CO map toward Shell 19. We extract emission along 4 equally spaced slices through the center of the shell and then average. Darker colors indicate more intense emission. Contours show the model that best represents the shell.
